code,x,y,z,cluster
SS32628,-2.5633836,-0.5771923,0.6254463,37
E32521,7.343296,3.5195837,-5.2387476,0
E31128,0.058207035,-3.4547267,2.839201,30
S32617,-0.4873767,-3.3870392,2.0331192,30
S31532,-1.1927819,1.2088814,2.4813986,34
S31534,-5.0150604,-0.6661339,-1.8213048,9
E32683,0.715539,3.8411574,0.33363247,20
S31557,0.7323246,-1.2418976,-1.8684254,16
S31734,0.07954693,4.2753696,-0.45154953,20
S32385,1.2841749,-0.7483449,0.25015163,41
E31919,-0.35022974,-2.9530048,0.608315,10
E31470,-4.544754,-0.52392673,-1.3146477,9
S32022,-2.4810247,-5.3841047,-1.9221439,23
S32709,-0.29191828,4.0352955,-0.007824898,20
S31880,0.8547268,-1.2066498,0.30000353,41
S32675,0.48887634,0.35617733,0.6749983,13
S31360,-3.1320896,0.5874119,2.239235,56
S31815,0.7951331,-0.008749008,3.0712824,4
S31712,8.961988,2.5322475,-6.1333933,0
S32402,-5.1842957,-0.36531448,-1.9730473,9
S31808,0.5486641,-0.6843848,-2.3248644,16
S32225,-1.7164583,-5.8887596,0.69612026,14
S32815,-1.3321371,-0.9068141,1.8691626,51
S32383,-4.7987366,0.3871231,-1.501648,9
S32217,-1.8750691,-4.3185005,-0.7687931,22
E31976,-2.6642504,5.377308,0.4092574,7
E31467,-3.499415,1.1760387,-0.28697872,53
S31519,-0.057229996,3.5564728,-0.010855198,20
E31454,1.6277008,0.2694087,-0.5562668,43
S32749,-3.2317638,0.52984047,2.1635857,56
S31518,-4.8581734,0.3333826,-1.7400928,9
S32788,-3.2534275,-1.9906492,-0.5942879,27
S33204,-3.9410925,0.19802189,-0.018987656,26
S31973,-0.7795391,4.021576,-0.73619556,20
S32274,0.093771935,-2.2476826,2.193554,8
E31888,0.86200714,0.14253235,3.1495028,4
SE3074,-4.8893814,-0.866467,-1.9374428,9
E32301,-3.6594324,0.23173285,1.6353035,55
S34930,-1.6395407,-2.2640262,0.048294067,36
S31886,-0.584301,3.8850431,-0.85053587,20
S31563,-1.1544647,-5.5052567,-0.16099739,33
S35580,-0.12139654,-3.9106064,2.608718,30
S31515,-2.591586,-5.3897915,-1.9864349,23
S33289,-0.74193096,3.8777914,-0.42425108,20
S31719,-0.2580452,-2.7163668,-0.6487856,19
E32065,-4.1185236,-0.5411935,-1.2814837,9
E32065,-4.1149335,-0.5420947,-1.2796931,9
SS31452,0.007342339,-2.5465498,1.6609783,31
E31556,7.040163,3.391962,-5.041852,0
SS33257,0.32101917,0.3646531,0.75437355,13
E32375,-0.18038559,-2.9651337,-0.30252457,19
S31912,-1.7846489,-4.343849,-0.7381153,22
E31418,0.6415043,-1.1849327,-1.9465618,16
S32384,-0.49136353,3.8063908,-0.5879955,20
S32407,-0.018835068,-2.223868,2.139062,8
S31613,-0.72781897,-5.212411,0.14845562,33
S31929,1.2591887,-1.2303152,-1.2570019,16
E32011,-0.70334816,-5.3342085,0.29742908,33
E32011,-0.7325082,-5.331335,0.26721716,33
SS3337,-0.39908695,3.8644018,-0.11899948,20
S31692,0.4525299,0.28183126,0.74757814,13
